User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
137,33,Female,Instagram,170,7,95,30,38,Happiness
138,27,Male,Twitter,85,4,45,18,24,Anger
139,22,Female,Instagram,115,3,60,17,30,Neutral
141,31,Male,LinkedIn,45,1,9,4,10,Sadness
142,25,Female,Instagram,150,6,90,26,30,Happiness
143,29,Male,Twitter,95,4,50,22,22,Anger
145,35,Female,LinkedIn,60,1,15,7,14,Boredom
146,30,Male,Instagram,175,7,100,33,38,Happiness
147,21,Female,Twitter,90,3,37,14,20,Sadness
149,32,Male,Instagram,130,5,80,28,31,Neutral
150,28,Female,LinkedIn,55,1,12,6,10,Boredom
151,27,Male,Instagram,165,6,85,30,28,Happiness
152,24,Female,Twitter,75,3,33,18,19,Anger
154,33,Female,Instagram,145,4,65,23,35,Sadness
155,31,Male,LinkedIn,60,1,15,7,17,Anxiety
156,22,Female,Whatsapp,70,2,42,10,21,Anxiety
157,25,Male,Telegram,90,3,22,11,22,Boredom
159,28,Female,Twitter,95,4,48,22,25,Happiness
160,27,Male,Facebook,60,1,12,5,15,Boredom
161,30,Female,Instagram,175,6,72,30,33,Happiness
162,23,Male,Whatsapp,70,3,22,10,18,Anger
164,26,Female,Snapchat,120,4,55,18,30,Anxiety
165,25,Male,Twitter,90,6,42,14,26,Sadness
167,28,Male,Instagram,165,5,78,23,35,Happiness
168,31,Female,Whatsapp,65,2,27,10,20,Neutral
169,27,Male,Telegram,105,3,48,20,28,Anxiety
171,24,Female,Instagram,140,4,65,22,30,Happiness
172,35,Male,Twitter,70,1,13,8,10,Boredom
174,29,Female,Whatsapp,90,2,24,12,22,Anger
175,25,Male,Telegram,80,4,30,13,25,Neutral
177,32,Female,Instagram,155,6,75,25,38,Happiness
178,26,Male,Twitter,75,2,23,12,18,Sadness
180,27,Female,Whatsapp,90,4,37,18,20,Neutral
181,31,Male,Telegram,50,2,20,10,12,Sadness
183,34,Female,Instagram,120,5,60,25,25,Anger
184,22,Male,Twitter,70,1,22,7,22,Neutral
186,28,Female,Whatsapp,100,4,37,14,26,Anxiety
187,31,Male,Telegram,85,3,45,20,28,Sadness
189,25,Female,Instagram,170,6,83,30,33,Happiness
190,30,Male,Twitter,70,2,30,12,20,Anxiety
192,32,Female,Whatsapp,105,4,55,25,25,Anger
193,24,Male,Telegram,75,3,37,16,22,Neutral
194,29,Female,Snapchat,95,2,23,10,28,Sadness
195,26,Male,Instagram,150,5,70,25,30,Anxiety
197,22,Female,Facebook,70,1,14,6,10,Neutral
198,35,Male,Whatsapp,110,3,50,25,25,Happiness
200,27,Female,Snapchat,120,4,40,18,22,Neutral
201,25,Female,Instagram,120,5,50,20,25,Happiness
202,30,Male,Twitter,90,4,30,20,22,Anger
204,28,Female,Instagram,200,8,110,40,45,Anxiety
205,33,Male,LinkedIn,45,1,10,5,12,Boredom
206,21,Male,Instagram,150,5,65,25,30,Happiness
207,27,Female,Twitter,85,3,40,18,20,Anger
209,29,Female,LinkedIn,55,2,15,5,10,Neutral
210,31,Male,Instagram,170,7,90,35,40,Happiness
211,23,Female,Twitter,75,4,45,20,25,Anxiety
213,34,Male,LinkedIn,65,1,14,6,15,Boredom
214,22,Female,Instagram,180,8,100,38,45,Happiness
215,28,Male,Twitter,100,6,50,30,29,Anger
217,35,Female,Instagram,125,5,65,22,28,Anxiety
218,27,Male,Twitter,90,3,40,16,24,Sadness
220,32,Female,Instagram,140,6,75,28,30,Happiness
221,26,Male,Facebook,75,2,30,14,20,Anxiety
222,24,Female,Twitter,105,4,35,20,23,Anger
223,29,Male,LinkedIn,60,2,17,8,15,Boredom
225,22,Female,Twitter,70,3,25,16,15,Sadness
226,31,Male,Facebook,80,2,20,10,20,Neutral
228,25,Female,Instagram,160,6,85,26,30,Happiness
229,30,Male,Twitter,90,4,43,19,24,Anger
231,34,Female,LinkedIn,65,2,17,5,14,Boredom
232,28,Male,Instagram,145,7,80,30,35,Happiness
234,21,Female,Instagram,130,6,95,22,28,Sadness
235,29,Male,Facebook,65,2,27,11,22,Anxiety
237,33,Female,Instagram,170,7,95,30,38,Happiness
238,27,Male,Twitter,85,4,45,18,24,Anger
239,22,Female,Instagram,115,3,60,17,30,Neutral
241,31,Male,LinkedIn,45,1,9,4,10,Sadness
242,25,Female,Instagram,150,6,90,26,30,Happiness
243,29,Male,Twitter,95,4,50,22,22,Anger
245,35,Female,LinkedIn,60,1,15,7,14,Boredom
246,30,Male,Instagram,175,7,100,33,38,Happiness
247,21,Female,Twitter,90,3,37,14,20,Sadness
249,32,Male,Instagram,130,5,80,28,31,Neutral
250,28,Female,LinkedIn,55,1,12,6,10,Boredom
289,25,Female,Instagram,170,6,83,30,33,Happiness
290,30,Male,Twitter,70,2,30,12,20,Anxiety
292,32,Female,Whatsapp,105,4,55,25,25,Anger
293,24,Male,Telegram,75,3,37,16,22,Neutral
294,29,Female,Snapchat,95,2,23,10,28,Sadness
295,26,Male,Instagram,150,5,70,25,30,Anxiety
297,22,Female,Facebook,70,1,14,6,10,Neutral
298,35,Male,Whatsapp,110,3,50,25,25,Happiness
300,27,Female,Snapchat,120,4,40,18,22,Neutral
301,25,Female,Instagram,120,5,50,20,25,Happiness
302,30,Male,Twitter,90,4,30,20,22,Anger
304,28,Female,Instagram,200,8,110,40,45,Anxiety
305,33,Male,LinkedIn,45,1,10,5,12,Boredom
306,21,Male,Instagram,150,5,65,25,30,Happiness
307,27,Female,Twitter,85,3,40,18,20,Anger
309,29,Female,LinkedIn,55,2,15,5,10,Neutral
310,31,Male,Instagram,170,7,90,35,40,Happiness
311,23,Female,Twitter,75,4,45,20,25,Anxiety
313,34,Male,LinkedIn,65,1,14,6,15,Boredom
314,22,Female,Instagram,180,8,100,38,45,Happiness
315,28,Male,Twitter,100,6,50,30,29,Anger
317,35,Female,Instagram,125,5,65,22,28,Anxiety
318,27,Male,Twitter,90,3,40,16,24,Sadness
320,32,Female,Instagram,140,6,75,28,30,Happiness
321,26,Male,Facebook,75,2,30,14,20,Anxiety
322,24,Female,Twitter,105,4,35,20,23,Anger
323,29,Male,LinkedIn,60,2,17,8,15,Boredom
325,22,Female,Twitter,70,3,25,16,15,Sadness
326,31,Male,Facebook,80,2,20,10,20,Neutral
328,25,Female,Instagram,160,6,85,26,30,Happiness
329,30,Male,Twitter,90,4,43,19,24,Anger
331,34,Female,LinkedIn,65,2,17,5,14,Boredom
332,28,Male,Instagram,145,7,80,30,35,Happiness
334,21,Female,Instagram,130,6,95,22,28,Sadness
335,29,Male,Facebook,65,2,27,11,22,Anxiety
337,33,Female,Instagram,170,7,95,30,38,Happiness
338,27,Male,Twitter,85,4,45,18,24,Anger
339,22,Female,Instagram,115,3,60,17,30,Neutral
341,31,Male,LinkedIn,45,1,9,4,10,Sadness
342,25,Female,Instagram,150,6,90,26,30,Happiness
343,29,Male,Twitter,95,4,50,22,22,Anger
345,35,Female,LinkedIn,60,1,15,7,14,Boredom
346,30,Male,Instagram,175,7,100,33,38,Happiness
347,21,Female,Twitter,90,3,37,14,20,Sadness
349,32,Male,Instagram,130,5,80,28,31,Neutral
350,28,Female,LinkedIn,55,1,12,6,10,Boredom
351,27,Male,Instagram,165,6,85,30,28,Happiness
352,24,Female,Twitter,75,3,33,18,19,Anger
354,33,Female,Instagram,145,4,65,23,35,Sadness
355,31,Male,LinkedIn,60,1,15,7,17,Anxiety
356,22,Female,Whatsapp,70,2,42,10,21,Anxiety
357,25,Male,Telegram,90,3,22,11,22,Boredom
359,28,Female,Twitter,95,4,48,22,25,Happiness
360,27,Male,Facebook,60,1,12,5,15,Boredom
361,30,Female,Instagram,175,6,72,30,33,Happiness
362,23,Male,Whatsapp,70,3,22,10,18,Anger
364,26,Female,Snapchat,120,4,55,18,30,Anxiety
365,25,Male,Twitter,90,6,42,14,26,Sadness
367,28,Male,Instagram,165,5,78,23,35,Happiness
368,31,Female,Whatsapp,65,2,27,10,20,Neutral
369,27,Male,Telegram,105,3,48,20,28,Anxiety
371,24,Female,Instagram,140,4,65,22,30,Happiness
372,35,Male,Twitter,70,1,13,8,10,Boredom
374,29,Female,Whatsapp,90,2,24,12,22,Anger
375,25,Male,Telegram,80,4,30,13,25,Neutral
377,32,Female,Instagram,155,6,75,25,38,Happiness
378,26,Male,Twitter,75,2,23,12,18,Sadness
380,27,Female,Whatsapp,90,4,37,18,20,Neutral
381,31,Male,Telegram,50,2,20,10,12,Sadness
383,34,Female,Instagram,120,5,60,25,25,Anger
384,22,Male,Twitter,70,1,22,7,22,Neutral
386,28,Female,Whatsapp,100,4,37,14,26,Anxiety
387,31,Male,Telegram,85,3,45,20,28,Sadness
389,25,Female,Instagram,170,6,83,30,33,Happiness
390,30,Male,Twitter,70,2,30,12,20,Anxiety
392,32,Female,Whatsapp,105,4,55,25,25,Anger
393,24,Male,Telegram,75,3,37,16,22,Neutral
394,29,Female,Snapchat,95,2,23,10,28,Sadness
395,26,Male,Instagram,150,5,70,25,30,Anxiety
397,22,Female,Facebook,70,1,14,6,10,Neutral
398,35,Male,Whatsapp,110,3,50,25,25,Happiness
400,27,Female,Snapchat,120,4,40,18,22,Neutral
401,25,Female,Instagram,120,5,50,20,25,Happiness
402,30,Male,Twitter,90,4,30,20,22,Anger
404,28,Female,Instagram,200,8,110,40,45,Anxiety
405,33,Male,LinkedIn,45,1,10,5,12,Boredom
406,21,Male,Instagram,150,5,65,25,30,Happiness
407,27,Female,Twitter,85,3,40,18,20,Anger
409,29,Female,LinkedIn,55,2,15,5,10,Neutral
410,31,Male,Instagram,170,7,90,35,40,Happiness
411,23,Female,Twitter,75,4,45,20,25,Anxiety
413,34,Male,LinkedIn,65,1,14,6,15,Boredom
414,22,Female,Instagram,180,8,100,38,45,Happiness
415,28,Male,Twitter,100,6,50,30,29,Anger
417,35,Female,Instagram,125,5,65,22,28,Anxiety
418,27,Male,Twitter,90,3,40,16,24,Sadness
420,32,Female,Instagram,140,6,75,28,30,Happiness
421,26,Male,Facebook,75,2,30,14,20,Anxiety
422,24,Female,Twitter,105,4,35,20,23,Anger
423,29,Male,LinkedIn,60,2,17,8,15,Boredom
425,22,Female,Twitter,70,3,25,16,15,Sadness
426,31,Male,Facebook,80,2,20,10,20,Neutral
428,25,Female,Instagram,160,6,85,26,30,Happiness
429,30,Male,Twitter,90,4,43,19,24,Anger
431,34,Female,LinkedIn,65,2,17,5,14,Boredom
432,28,Male,Instagram,145,7,80,30,35,Happiness
434,21,Female,Instagram,130,6,95,22,28,Sadness
435,29,Male,Facebook,65,2,27,11,22,Anxiety
437,33,Female,Instagram,170,7,95,30,38,Happiness
438,27,Male,Twitter,85,4,45,18,24,Anger
439,22,Female,Instagram,115,3,60,17,30,Neutral
441,31,Male,LinkedIn,45,1,9,4,10,Sadness
442,25,Female,Instagram,150,6,90,26,30,Happiness
443,29,Male,Twitter,95,4,50,22,22,Anger
445,35,Female,LinkedIn,60,1,15,7,14,Boredom
446,30,Male,Instagram,175,7,100,33,38,Happiness
447,21,Female,Twitter,90,3,37,14,20,Sadness
449,32,Male,Instagram,130,5,80,28,31,Neutral
450,28,Female,LinkedIn,55,1,12,6,10,Boredom
451,27,Male,Instagram,165,6,85,30,28,Happiness
452,24,Female,Twitter,75,3,33,18,19,Anger
454,33,Female,Instagram,145,4,65,23,35,Sadness
455,31,Male,LinkedIn,60,1,15,7,17,Anxiety
456,22,Female,Whatsapp,70,2,42,10,21,Anxiety
457,25,Male,Telegram,90,3,22,11,22,Boredom
459,28,Female,Twitter,95,4,48,22,25,Happiness
460,27,Male,Facebook,60,1,12,5,15,Boredom
461,30,Female,Instagram,175,6,72,30,33,Happiness
462,23,Male,Whatsapp,70,3,22,10,18,Anger
464,26,Female,Snapchat,120,4,55,18,30,Anxiety
465,25,Male,Twitter,90,6,42,14,26,Sadness
467,28,Male,Instagram,165,5,78,23,35,Happiness
468,31,Female,Whatsapp,65,2,27,10,20,Neutral
469,27,Male,Telegram,105,3,48,20,28,Anxiety
471,24,Female,Instagram,140,4,65,22,30,Happiness
472,35,Male,Twitter,70,1,13,8,10,Boredom
474,29,Female,Whatsapp,90,2,24,12,22,Anger
475,25,Male,Telegram,80,4,30,13,25,Neutral
477,32,Female,Instagram,155,6,75,25,38,Happiness
478,26,Male,Twitter,75,2,23,12,18,Sadness
480,27,Female,Whatsapp,90,4,37,18,20,Neutral
481,31,Male,Telegram,50,2,20,10,12,Sadness
483,34,Female,Instagram,120,5,60,25,25,Anger
484,22,Male,Twitter,70,1,22,7,22,Neutral
486,28,Female,Whatsapp,100,4,37,14,26,Anxiety
487,31,Male,Telegram,85,3,45,20,28,Sadness
489,25,Female,Instagram,170,6,83,30,33,Happiness
490,30,Male,Twitter,70,2,30,12,20,Anxiety
492,32,Female,Whatsapp,105,4,55,25,25,Anger
493,24,Male,Telegram,75,3,37,16,22,Neutral
494,29,Female,Snapchat,95,2,23,10,28,Sadness
495,26,Male,Instagram,150,5,70,25,30,Anxiety
497,22,Female,Facebook,70,1,14,6,10,Neutral
498,35,Male,Whatsapp,110,3,50,25,25,Happiness
500,27,Female,Snapchat,120,4,40,18,22,Neutral
501,25,Female,Instagram,120,5,50,20,25,Happiness
502,30,Male,Twitter,90,4,30,20,22,Anger
504,28,Female,Instagram,200,8,110,40,45,Anxiety
505,33,Male,LinkedIn,45,1,10,5,12,Boredom
506,21,Male,Instagram,150,5,65,25,30,Happiness
507,27,Female,Twitter,85,3,40,18,20,Anger
509,29,Female,LinkedIn,55,2,15,5,10,Neutral
510,31,Male,Instagram,170,7,90,35,40,Happiness
511,23,Female,Twitter,75,4,45,20,25,Anxiety
513,34,Male,LinkedIn,65,1,14,6,15,Boredom
514,22,Female,Instagram,180,8,100,38,45,Happiness
515,28,Male,Twitter,100,6,50,30,29,Anger
517,35,Female,Instagram,125,5,65,22,28,Anxiety
518,27,Male,Twitter,90,3,40,16,24,Sadness
520,32,Female,Instagram,140,6,75,28,30,Happiness
521,26,Male,Facebook,75,2,30,14,20,Anxiety
522,24,Female,Twitter,105,4,35,20,23,Anger
523,29,Male,LinkedIn,60,2,17,8,15,Boredom
525,22,Female,Twitter,70,3,25,16,15,Sadness
526,31,Male,Facebook,80,2,20,10,20,Neutral
528,25,Female,Instagram,160,6,85,26,30,Happiness
529,30,Male,Twitter,90,4,43,19,24,Anger
531,34,Female,LinkedIn,65,2,17,5,14,Boredom
532,28,Male,Instagram,145,7,80,30,35,Happiness
534,21,Female,Instagram,130,6,95,22,28,Sadness
535,29,Male,Facebook,65,2,27,11,22,Anxiety
537,33,Female,Instagram,170,7,95,30,38,Happiness
538,27,Male,Twitter,85,4,45,18,24,Anger
539,22,Female,Instagram,115,3,60,17,30,Neutral
541,31,Male,LinkedIn,45,1,9,4,10,Sadness
542,25,Female,Instagram,150,6,90,26,30,Happiness
543,29,Male,Twitter,95,4,50,22,22,Anger
545,35,Female,LinkedIn,60,1,15,7,14,Boredom
546,30,Male,Instagram,175,7,100,33,38,Happiness
547,21,Female,Twitter,90,3,37,14,20,Sadness
549,32,Male,Instagram,130,5,80,28,31,Neutral
550,28,Female,LinkedIn,55,1,12,6,10,Boredom
551,27,Male,Instagram,165,6,85,30,28,Happiness
552,24,Female,Twitter,75,3,33,18,19,Anger
554,33,Female,Instagram,145,4,65,23,35,Sadness
555,31,Male,LinkedIn,60,1,15,7,17,Anxiety
556,22,Female,Whatsapp,70,2,42,10,21,Anxiety
557,25,Male,Telegram,90,3,22,11,22,Boredom
559,28,Female,Twitter,95,4,48,22,25,Happiness
560,27,Male,Facebook,60,1,12,5,15,Boredom
561,30,Female,Instagram,175,6,72,30,33,Happiness
562,23,Male,Whatsapp,70,3,22,10,18,Anger
564,26,Female,Snapchat,120,4,55,18,30,Anxiety
565,25,Male,Twitter,90,6,42,14,26,Sadness
567,28,Male,Instagram,165,5,78,23,35,Happiness
568,31,Female,Whatsapp,65,2,27,10,20,Neutral
569,27,Male,Telegram,105,3,48,20,28,Anxiety
571,24,Female,Instagram,140,4,65,22,30,Happiness
572,35,Male,Twitter,70,1,13,8,10,Boredom
574,29,Female,Whatsapp,90,2,24,12,22,Anger
575,25,Male,Telegram,80,4,30,13,25,Neutral
577,32,Female,Instagram,155,6,75,25,38,Happiness
578,26,Male,Twitter,75,2,23,12,18,Sadness
580,27,Female,Whatsapp,90,4,37,18,20,Neutral
581,31,Male,Telegram,50,2,20,10,12,Sadness
583,34,Female,Instagram,120,5,60,25,25,Anger
584,22,Male,Twitter,70,1,22,7,22,Neutral
586,28,Female,Whatsapp,100,4,37,14,26,Anxiety
587,31,Male,Telegram,85,3,45,20,28,Sadness
589,25,Female,Instagram,170,6,83,30,33,Happiness
590,30,Male,Twitter,70,2,30,12,20,Anxiety
592,32,Female,Whatsapp,105,4,55,25,25,Anger
593,24,Male,Telegram,75,3,37,16,22,Neutral
594,29,Female,Snapchat,95,2,23,10,28,Sadness
595,26,Male,Instagram,150,5,70,25,30,Anxiety
597,22,Female,Facebook,70,1,14,6,10,Neutral
598,35,Male,Whatsapp,110,3,50,25,25,Happiness
600,27,Female,Snapchat,120,4,40,18,22,Neutral
601,25,Female,Instagram,120,5,50,20,25,Happiness
602,30,Male,Twitter,90,4,30,20,22,Anger
604,28,Female,Instagram,200,8,110,40,45,Anxiety
605,33,Male,LinkedIn,45,1,10,5,12,Boredom
606,21,Male,Instagram,150,5,65,25,30,Happiness
607,27,Female,Twitter,85,3,40,18,20,Anger
609,29,Female,LinkedIn,55,2,15,5,10,Neutral
610,31,Male,Instagram,170,7,90,35,40,Happiness
611,23,Female,Twitter,75,4,45,20,25,Anxiety
613,34,Male,LinkedIn,65,1,14,6,15,Boredom
614,22,Female,Instagram,180,8,100,38,45,Happiness
615,28,Male,Twitter,100,6,50,30,29,Anger
617,35,Female,Instagram,125,5,65,22,28,Anxiety
618,27,Male,Twitter,90,3,40,16,24,Sadness
620,32,Female,Instagram,140,6,75,28,30,Happiness
621,26,Male,Facebook,75,2,30,14,20,Anxiety
622,24,Female,Twitter,105,4,35,20,23,Anger
623,29,Male,LinkedIn,60,2,17,8,15,Boredom
625,22,Female,Twitter,70,3,25,16,15,Sadness
626,31,Male,Facebook,80,2,20,10,20,Neutral
628,25,Female,Instagram,160,6,85,26,30,Happiness
629,30,Male,Twitter,90,4,43,19,24,Anger
631,34,Female,LinkedIn,65,2,17,5,14,Boredom
632,28,Male,Instagram,145,7,80,30,35,Happiness
634,21,Female,Instagram,130,6,95,22,28,Sadness
635,29,Male,Facebook,65,2,27,11,22,Anxiety
637,33,Female,Instagram,170,7,95,30,38,Happiness
638,27,Male,Twitter,85,4,45,18,24,Anger
639,22,Female,Instagram,115,3,60,17,30,Neutral
641,31,Male,LinkedIn,45,1,9,4,10,Sadness
642,25,Female,Instagram,150,6,90,26,30,Happiness
643,29,Male,Twitter,95,4,50,22,22,Anger
645,35,Female,LinkedIn,60,1,15,7,14,Boredom
646,30,Male,Instagram,175,7,100,33,38,Happiness
647,21,Female,Twitter,90,3,37,14,20,Sadness
649,32,Male,Instagram,130,5,80,28,31,Neutral
650,28,Female,LinkedIn,55,1,12,6,10,Boredom
651,27,Male,Instagram,165,6,85,30,28,Happiness
652,24,Female,Twitter,75,3,33,18,19,Anger
654,33,Female,Instagram,145,4,65,23,35,Sadness
655,31,Male,LinkedIn,60,1,15,7,17,Anxiety
656,22,Female,Whatsapp,70,2,42,10,21,Anxiety
657,25,Male,Telegram,90,3,22,11,22,Boredom
659,28,Female,Twitter,95,4,48,22,25,Happiness
660,27,Male,Facebook,60,1,12,5,15,Boredom
661,30,Female,Instagram,175,6,72,30,33,Happiness
662,23,Male,Whatsapp,70,3,22,10,18,Anger
664,26,Female,Snapchat,120,4,55,18,30,Anxiety
665,25,Male,Twitter,90,6,42,14,26,Sadness
667,28,Male,Instagram,165,5,78,23,35,Happiness
668,31,Female,Whatsapp,65,2,27,10,20,Neutral
669,27,Male,Telegram,105,3,48,20,28,Anxiety
671,24,Female,Instagram,140,4,65,22,30,Happiness
672,35,Male,Twitter,70,1,13,8,10,Boredom
674,29,Female,Whatsapp,90,2,24,12,22,Anger
675,25,Male,Telegram,80,4,30,13,25,Neutral
677,32,Female,Instagram,155,6,75,25,38,Happiness
678,26,Male,Twitter,75,2,23,12,18,Sadness
680,27,Female,Whatsapp,90,4,37,18,20,Neutral
681,31,Male,Telegram,50,2,20,10,12,Sadness
683,34,Female,Instagram,120,5,60,25,25,Anger
684,22,Male,Twitter,70,1,22,7,22,Neutral
686,28,Female,Whatsapp,100,4,37,14,26,Anxiety
687,31,Male,Telegram,85,3,45,20,28,Sadness
689,25,Female,Instagram,170,6,83,30,33,Happiness
690,30,Male,Twitter,70,2,30,12,20,Anxiety
692,32,Female,Whatsapp,105,4,55,25,25,Anger
693,24,Male,Telegram,75,3,37,16,22,Neutral
694,29,Female,Snapchat,95,2,23,10,28,Sadness
695,26,Male,Instagram,150,5,70,25,30,Anxiety
697,22,Female,Facebook,70,1,14,6,10,Neutral
698,35,Male,Whatsapp,110,3,50,25,25,Happiness
700,27,Female,Snapchat,120,4,40,18,22,Neutral
701,25,Female,Instagram,120,5,50,20,25,Happiness
702,30,Male,Twitter,90,4,30,20,22,Anger
704,28,Female,Instagram,200,8,110,40,45,Anxiety
705,33,Male,LinkedIn,45,1,10,5,12,Boredom
706,21,Male,Instagram,150,5,65,25,30,Happiness
707,27,Female,Twitter,85,3,40,18,20,Anger
709,29,Female,LinkedIn,55,2,15,5,10,Neutral
710,31,Male,Instagram,170,7,90,35,40,Happiness
711,23,Female,Twitter,75,4,45,20,25,Anxiety
713,34,Male,LinkedIn,65,1,14,6,15,Boredom
714,22,Female,Instagram,180,8,100,38,45,Happiness
715,28,Male,Twitter,100,6,50,30,29,Anger
717,35,Female,Instagram,125,5,65,22,28,Anxiety
718,27,Male,Twitter,90,3,40,16,24,Sadness
720,32,Female,Instagram,140,6,75,28,30,Happiness
721,26,Male,Facebook,75,2,30,14,20,Anxiety
722,24,Female,Twitter,105,4,35,20,23,Anger
723,29,Male,LinkedIn,60,2,17,8,15,Boredom
